model,state_id,action,admissible,q_value
Conservative Q-Learning,679,17,0,14.167943000793457
Conservative Q-Learning,679,18,0,14.243042945861816
Conservative Q-Learning,679,19,0,14.195181846618652
Conservative Q-Learning,679,20,0,14.333074569702148
Conservative Q-Learning,679,21,0,14.203386306762695
Conservative Q-Learning,679,22,0,14.24935245513916
Conservative Q-Learning,679,23,0,14.243319511413574
Conservative Q-Learning,679,24,0,14.2640380859375
Conservative Q-Learning,24,0,1,14.472625732421875
Conservative Q-Learning,24,1,0,11.172616004943848
Conservative Q-Learning,24,2,0,11.15071964263916
Conservative Q-Learning,24,3,0,11.155425071716309
Conservative Q-Learning,24,4,0,11.169988632202148
Conservative Q-Learning,24,5,0,11.382051467895508
Conservative Q-Learning,24,6,0,11.187037467956543
Conservative Q-Learning,24,7,0,11.180900573730469
Conservative Q-Learning,24,8,0,11.14437198638916
Conservative Q-Learning,24,9,0,11.207657814025879
Conservative Q-Learning,24,10,0,11.180710792541504
Conservative Q-Learning,24,11,0,11.162428855895996
Conservative Q-Learning,24,12,0,11.186400413513184
Conservative Q-Learning,24,13,0,11.17482852935791
Conservative Q-Learning,24,14,0,11.168641090393066
Conservative Q-Learning,24,15,0,11.193887710571289
Conservative Q-Learning,24,16,0,11.184257507324219
Conservative Q-Learning,24,17,0,11.149526596069336
Conservative Q-Learning,24,18,0,11.184467315673828
Conservative Q-Learning,24,19,0,11.158844947814941
Conservative Q-Learning,24,20,0,11.129545211791992
Conservative Q-Learning,24,21,0,11.175970077514648
Conservative Q-Learning,24,22,0,11.121482849121094
Conservative Q-Learning,24,23,0,11.166742324829102
Conservative Q-Learning,24,24,0,11.2636137008667
Conservative Q-Learning,25,0,1,7.2432637214660645
Conservative Q-Learning,25,1,0,4.13263463973999
Conservative Q-Learning,25,2,0,4.117782115936279
Conservative Q-Learning,25,3,0,4.1047234535217285
Conservative Q-Learning,25,4,0,4.099324703216553
Conservative Q-Learning,25,5,0,4.05322790145874
Conservative Q-Learning,25,6,0,4.109196186065674
Conservative Q-Learning,25,7,0,4.127486705780029
Conservative Q-Learning,25,8,0,4.1028361320495605
Conservative Q-Learning,25,9,0,4.120857238769531
Conservative Q-Learning,25,10,0,4.177736759185791
Conservative Q-Learning,25,11,0,4.11808967590332
Conservative Q-Learning,25,12,0,4.069706439971924
Conservative Q-Learning,25,13,0,4.103435039520264
Conservative Q-Learning,25,14,0,4.143059730529785
Conservative Q-Learning,25,15,0,4.115781307220459
Conservative Q-Learning,25,16,0,4.115012168884277
Conservative Q-Learning,25,17,0,4.133296012878418
Conservative Q-Learning,25,18,0,4.110253810882568
Conservative Q-Learning,25,19,0,4.122068881988525
Conservative Q-Learning,25,20,0,4.090413570404053
Conservative Q-Learning,25,21,0,4.11219596862793
Conservative Q-Learning,25,22,0,4.144286632537842
Conservative Q-Learning,25,23,0,4.107743740081787
Conservative Q-Learning,25,24,0,4.05549955368042
Vanilla Offline Actor-Critic,681,0,1,1.1767816543579102
Vanilla Offline Actor-Critic,681,1,0,1.1710872650146484
Vanilla Offline Actor-Critic,681,2,0,1.1762194633483887
Vanilla Offline Actor-Critic,681,3,0,1.1708693504333496
Vanilla Offline Actor-Critic,681,4,0,1.1705000400543213
Vanilla Offline Actor-Critic,681,5,0,1.1841226816177368
Vanilla Offline Actor-Critic,681,6,0,1.1743468046188354
Vanilla Offline Actor-Critic,681,7,0,1.1760997772216797
Vanilla Offline Actor-Critic,681,8,0,1.1755552291870117
Vanilla Offline Actor-Critic,681,9,0,1.17364501953125
